date,ch,name,email,mes
2020-04-01,ch1,a,a@a.com,1
2020-04-01,ch1,b,b@a.com,2
2020-04-01,ch1,c,c@a.com,3
2020-04-01,ch1,d,a@a.com,4
2020-04-01,ch1,e,a@a.com,5
2020-04-01,ch2,a,a@a.com,6
2020-04-01,ch2,b,a@a.com,7
2020-04-01,ch2,c,a@a.com,2
2020-04-01,ch2,d,a@a.com,3
2020-04-01,ch3,e,a@a.com,4
2020-04-01,ch3,f,a@a.com,5
2020-04-01,ch3,g,a@a.com,6
2020-04-02,ch1,a,a@a.com,1
2020-04-02,ch1,b,b@a.com,2
2020-04-02,ch1,c,c@a.com,3
2020-04-02,ch1,d,a@a.com,4
2020-04-02,ch1,e,a@a.com,5
2020-04-02,ch2,a,a@a.com,6
2020-04-02,ch2,b,a@a.com,7
2020-04-02,ch2,c,a@a.com,2
2020-04-02,ch2,d,a@a.com,3
2020-04-02,ch3,e,a@a.com,4
